topic,label,events,resourceURI
http://dbpedia.org/resource/Database_schema,Database schema,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific,College of Osteopathic Medicine of the Pacific,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Computer_data_storage,Computer data storage,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/SQL,SQL,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/RDF_Schema,RDF Schema,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Conscription,Conscription,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Association_football,Association football,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/This_Week_(American_TV_program),This Week (American TV program),file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Jaguar_XF,Jaguar XF,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/SPARQL,SPARQL,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Go_(game),Go (game),file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/DBpedia,DBpedia,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Query_language,Query language,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/City,City,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Berlin,Berlin,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Open_source,Open source,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Group_Selection_(book),Group Selection (book),file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Test_cricket,Test cricket,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Jena,Jena,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Executable,Executable,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Alma_Mahler,Alma Mahler,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Moodle,Moodle,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Siri,Siri,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Graph_database,Graph database,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Monty_Python,Monty Python,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Proxemics,Proxemics,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Apache_HTTP_Server,Apache HTTP Server,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Contact_(1997_American_film),Contact (1997 American film),file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Main_Page,Main Page,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Java_Development_Kit,Java Development Kit,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/FOAF_(ontology),FOAF (ontology),file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Web_server,Web server,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Fuseki,Fuseki,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Sport_Club_Internacional,Sport Club Internacional,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Binary_distribution,Binary distribution,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Amazon_Alexa,Amazon Alexa,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Chmod,Chmod,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/English_language,English language,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Public_Knowledge,Public Knowledge,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Canada,Canada,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/FAQ,FAQ,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Smart_device,Smart device,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/General_officer,General officer,file:///data/COMP474_lab_4,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
http://dbpedia.org/resource/Uname,Uname,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Yangtze,Yangtze,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Clause,Clause,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Artificial_intelligence,Artificial intelligence,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Knowledge_Graph,Knowledge Graph,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/SPARQL,SPARQL,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/RDF_Schema,RDF Schema,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/SQL,SQL,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Uniform_Resource_Identifier,Uniform Resource Identifier,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Wikidata,Wikidata,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Nile,Nile,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Main_Page,Main Page,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Resource_Description_Framework,Resource Description Framework,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Montreal,Montreal,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Concordia_University,Concordia University,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/DBpedia,DBpedia,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
http://dbpedia.org/resource/Serialization,Serialization,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Communication_protocol,Communication protocol,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/TriG_(syntax),TriG (syntax),file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Neptune,Neptune,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Mexico,Mexico,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Protein,Protein,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Currency,Currency,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Compact_space,Compact space,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Filtration,Filtration,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Computer_science,Computer science,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Logic_programming,Logic programming,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Linked_data,Linked data,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Uniform_Resource_Identifier,Uniform Resource Identifier,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Description_logic,Description logic,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/SOAP,SOAP,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Amazon_Web_Services,Amazon Web Services,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/XML_schema,XML schema,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Web_Ontology_Language,Web Ontology Language,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Reading,Reading,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Clause,Clause,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific,College of Osteopathic Medicine of the Pacific,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Biological_pathway,Biological pathway,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/SPARQL,SPARQL,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/String_instrument,String instrument,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Heidelberg,Heidelberg,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/DBpedia,DBpedia,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Data_type,Data type,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Integral,Integral,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/GeoNames,GeoNames,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Auteur,Auteur,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Amsterdam,Amsterdam,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Idiom,Idiom,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Negation,Negation,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Manning_Publications,Manning Publications,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
http://dbpedia.org/resource/Flickr,Flickr,file:///data/COMP474_Lectures_4,file:///./COMP/474/Lectures/4/slides/slides04.pdf
